taxonomy,exp_id,experiment,sample_type,media,subculture_time,preculture_time,c18positive,c18negative,hilicpositive,culture_source,grouped_taxonomy,kingdom,phylum,class,order,family,genus,species,strain,morphology
Acidaminococcus intestini D21 BEI HM-81,413,20180512,supernatant,mm,12,24,s00005,s00126,s00213,c0002,Acidaminococcus intestini,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,intestini,D21,
Acidaminococcus intestini D21 BEI HM-81,414,20180512,supernatant,mm,12,24,s00006,s00127,s00214,c0002,Acidaminococcus intestini,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,intestini,D21,
Acidaminococcus intestini D21 BEI HM-81,415,20180512,supernatant,mm,12,24,s00007,s00128,s00215,c0002,Acidaminococcus intestini,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,intestini,D21,
Acidaminococcus intestini D21 BEI HM-81,416,20180512,supernatant,mm,12,24,s00008,s00129,s00216,c0002,Acidaminococcus intestini,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,intestini,D21,
Acidaminococcus intestini D21 BEI HM-81,417,20180512,supernatant,mm,12,24,s00009,s00130,s00217,c0002,Acidaminococcus intestini,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,intestini,D21,
Eubacterium eligens DSMZ 3376,419,20190228,supernatant,mm,17.25,,s03821,s03661,s03516,c0328,Eubacterium eligens,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium,eligens,,
Eubacterium eligens DSMZ 3376,420,20190228,supernatant,mm,17.25,,s03822,s03662,s03517,c0328,Eubacterium eligens,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium,eligens,,
Eubacterium eligens DSMZ 3376,421,20190228,supernatant,mm,17.25,,s03823,s03663,s03518,c0328,Eubacterium eligens,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium,eligens,,
Varibaculum cambriense AB12_3 BEI HM-1190,422,20181030,supernatant,mm,17,30,s03088,s03189,s02987,c0262,Varibaculum cambriense,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Varibaculum,cambriense,AB12_3,
Clostridioides difficile M68,424,20190228,supernatant,rcmwoa,17.25,,s03890,s03730,s03585,c0299,Clostridioides difficile,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridioides,difficile,M68,
Clostridioides difficile M68,425,20190228,supernatant,rcmwoa,17.25,,s03891,s03731,s03586,c0299,Clostridioides difficile,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridioides,difficile,M68,
Clostridioides difficile M68,426,20190228,supernatant,rcmwoa,17.25,,s03892,s03732,s03587,c0299,Clostridioides difficile,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridioides,difficile,M68,
Enterococcus faecium TX1330 BEI HM-204,431,20180618,supernatant,mm,12,24,s00975,s00808,s01136,c0092,Enterococcus faecium,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,faecium,TX1330,
Enterococcus faecium TX1330 BEI HM-204,432,20180618,supernatant,mm,12,24,s00976,s00809,s01137,c0092,Enterococcus faecium,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,faecium,TX1330,
Enterococcus faecium TX1330 BEI HM-204,433,20180618,supernatant,mm,12,24,s00977,s00810,s01138,c0092,Enterococcus faecium,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,faecium,TX1330,
Bifidobacterium gallicum DSMZ 20093,434,20180728,supernatant,mm,21,40,s02684,s02488,s02289,c0247,Bifidobacterium gallicum,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,gallicum,,
Bifidobacterium gallicum DSMZ 20093,435,20180728,supernatant,mm,,,s02685,s02489,s02290,c0247,Bifidobacterium gallicum,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,gallicum,,
Bifidobacterium gallicum DSMZ 20093,436,20180728,supernatant,mm,,,s02686,s02490,s02291,c0247,Bifidobacterium gallicum,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,gallicum,,
Catenibacterium mitsuokai DSMZ 15897,437,20181030,supernatant,mm,12,30,s03017,s03118,s02916,c0024,Catenibacterium mitsuokai,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Catenibacterium,mitsuokai,,
Blautia hansenii DSMZ 20583,441,20181030,supernatant,mm,12,30,s03022,s03123,s02921,c0016,Blautia hansenii,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,hansenii,,
Hungatella hathewayi DSM 13479,444,20180618,supernatant,mm,12,24,s00928,s00756,s01091,c0049,Hungatella hathewayi,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridaceae,Hungatella,hathewayi,,
Hungatella hathewayi DSM 13479,445,20180618,supernatant,mm,12,24,s00929,s00757,s01092,c0049,Hungatella hathewayi,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridaceae,Hungatella,hathewayi,,
Hungatella hathewayi DSM 13479,446,20180618,supernatant,mm,12,24,s00930,s00758,s01093,c0049,Hungatella hathewayi,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridaceae,Hungatella,hathewayi,,
Eubacterium siraeum DSMZ 15702,447,20180720,supernatant,mm,31.25,33.75,s02867,s02202,s02125,c0101,Eubacterium siraeum,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium,siraeum,,
Bifidobacterium longum NCC 2705,448,20180716,supernatant,mm,16,29,s01817,s01939,s02047,c0250,Bifidobacterium longum,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,longum,,
Bifidobacterium longum NCC 2705,449,20180716,supernatant,mm,16,29,s01818,s01940,s02048,c0250,Bifidobacterium longum,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,longum,,
Bifidobacterium longum NCC 2705,450,20180716,supernatant,mm,16,29,s01819,s01941,s02049,c0250,Bifidobacterium longum,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,longum,,
Bacteroides fragilis NCTC 9343,454,20180629,supernatant,mm,24,25,s01616,s01434,s01246,c0182,Bacteroides fragilis,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,fragilis,,
Bacteroides fragilis NCTC 9343,455,20180629,supernatant,mm,24,25,s01617,s01435,s01247,c0182,Bacteroides fragilis,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,fragilis,,
Bacteroides fragilis NCTC 9343,456,20180629,supernatant,mm,24,25,s01618,s01436,s01248,c0182,Bacteroides fragilis,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,fragilis,,
Anaerostipes sp. 3_2_56FAA BEI HM-220 904b,457,20180512,supernatant,mm,12,24,s00020,s00140,s00228,c0010,Anaerostipes,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerostipes,,3_2_56FAA,904b
Anaerostipes sp. 3_2_56FAA BEI HM-220 904b,458,20180512,supernatant,mm,12,24,s00021,s00141,s00229,c0010,Anaerostipes,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerostipes,,3_2_56FAA,904b
Anaerostipes sp. 3_2_56FAA BEI HM-220 904b,459,20180512,supernatant,mm,12,24,s00022,s00142,s00230,c0010,Anaerostipes,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerostipes,,3_2_56FAA,904b
Anaerostipes sp. 3_2_56FAA BEI HM-220 904b,460,20180512,supernatant,mm,12,24,s00023,s00143,s00231,c0010,Anaerostipes,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerostipes,,3_2_56FAA,904b
Anaerostipes sp. 3_2_56FAA BEI HM-220 904b,461,20180512,supernatant,mm,12,24,s00024,s00144,s00232,c0010,Anaerostipes,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerostipes,,3_2_56FAA,904b
Bacteroides fragilis CL05T00C42 BEI HM-711,462,20180629,supernatant,mm,24,25,s01610,s01428,s01240,c0180,Bacteroides fragilis,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,fragilis,CL05T00C42,
Bacteroides fragilis CL05T00C42 BEI HM-711,463,20180629,supernatant,mm,24,25,s01611,s01429,s01241,c0180,Bacteroides fragilis,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,fragilis,CL05T00C42,
Bacteroides fragilis CL05T00C42 BEI HM-711,464,20180629,supernatant,mm,24,25,s01612,s01430,s01242,c0180,Bacteroides fragilis,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,fragilis,CL05T00C42,
Bacteroides intestinalis DSMZ 17393,465,20180629,supernatant,mm,24,25,s01619,s01437,s01249,c0183,Bacteroides intestinalis,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,intestinalis,,
Bacteroides intestinalis DSMZ 17393,466,20180629,supernatant,mm,24,25,s01620,s01438,s01250,c0183,Bacteroides intestinalis,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,intestinalis,,
Bacteroides intestinalis DSMZ 17393,467,20180629,supernatant,mm,24,25,s01621,s01439,s01251,c0183,Bacteroides intestinalis,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,intestinalis,,
Clostridium bolteae ATCC BAA-613,468,20180618,supernatant,mm,12,24,s00907,s00735,s01070,c0040,Clostridium bolteae,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridaceae,Clostridium,bolteae,,
Clostridium bolteae ATCC BAA-613,469,20180618,supernatant,mm,12,24,s00908,s00736,s01071,c0040,Clostridium bolteae,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridaceae,Clostridium,bolteae,,
Clostridium bolteae ATCC BAA-613,470,20180618,supernatant,mm,12,24,s00909,s00737,s01072,c0040,Clostridium bolteae,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridaceae,Clostridium,bolteae,,
Bifidobacterium catenulatum DSMZ 16992,474,20180728,supernatant,mm,21,40,s02659,s02463,s02265,c0245,Bifidobacterium catenulatum,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,catenulatum,,
Bifidobacterium catenulatum DSMZ 16992,475,20180728,supernatant,mm,,,s02660,s02464,s02266,c0245,Bifidobacterium catenulatum,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,catenulatum,,
Bifidobacterium catenulatum DSMZ 16992,476,20180728,supernatant,mm,,,s02661,s02465,s02267,c0245,Bifidobacterium catenulatum,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,catenulatum,,
Bacteroides caccae CL03T12C61 BEI HM-728,481,20180629,supernatant,mm,24,25,s01562,s01380,s01192,c0158,Bacteroides caccae,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,caccae,CL03T12C61,
Bacteroides caccae CL03T12C61 BEI HM-728,482,20180629,supernatant,mm,24,25,s01563,s01381,s01193,c0158,Bacteroides caccae,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,caccae,CL03T12C61,
Bacteroides caccae CL03T12C61 BEI HM-728,483,20180629,supernatant,mm,24,25,s01564,s01382,s01194,c0158,Bacteroides caccae,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,caccae,CL03T12C61,
Bacteroides sp. 3_1_19 BEI HM-19,487,20180720,supernatant,mm,31.25,33.75,s02884,s02219,s02142,c0217,Bacteroides,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,,3_1_19,
Bifidobacterium infantis ATCC 15697,491,20180716,supernatant,mm,16,29,s01784,s01904,s02014,c0248,Bifidobacterium infantis,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,infantis,,
Bifidobacterium infantis ATCC 15697,492,20180716,supernatant,mm,16,29,s01785,s01905,s02015,c0248,Bifidobacterium infantis,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,infantis,,
Bifidobacterium infantis ATCC 15697,493,20180716,supernatant,mm,16,29,s01786,s01906,s02016,c0248,Bifidobacterium infantis,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,infantis,,
Clostridium sp. KLE 1755 BEI HM-1033,494,20190228,supernatant,rcmsg,17.25,,s03893,s03733,s03588,c0357,Clostridium,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridaceae,Clostridium,,KLE 1755,
Clostridium sp. KLE 1755 BEI HM-1033,495,20190228,supernatant,rcmsg,17.25,,s03894,s03734,s03589,c0357,Clostridium,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridaceae,Clostridium,,KLE 1755,
Clostridium sp. KLE 1755 BEI HM-1033,496,20190228,supernatant,rcmsg,17.25,,s03895,,s03590,c0357,Clostridium,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridaceae,Clostridium,,KLE 1755,
Lactobacillus plantarum ATCC BAA-793,498,20180618,supernatant,mm,12,24,s01005,s00838,s01166,c0118,Lactobacillus plantarum,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,plantarum,,
Lactobacillus plantarum ATCC BAA-793,499,20180618,supernatant,mm,12,24,s01006,s00839,s01167,c0118,Lactobacillus plantarum,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,plantarum,,
Lactobacillus plantarum ATCC BAA-793,500,20180618,supernatant,mm,12,24,s01007,s00840,s01168,c0118,Lactobacillus plantarum,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,plantarum,,
,505,20180720,media_blank,rcml,31.25,33.75,s02895,s02229,s02152,,,,,,,,,,,
Lactococcus lactis DSMZ 20729,510,20180618,supernatant,mm,12,24,s01021,s00853,s01180.1,c0123,Lactococcus lactis,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,lactis,,
Lactococcus lactis DSMZ 20729,511,20180618,supernatant,mm,12,24,s01022,s00854,,c0123,Lactococcus lactis,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,lactis,,
Lactococcus lactis DSMZ 20729,512,20180618,supernatant,mm,12,24,s01023,s00855,s01180.3,c0123,Lactococcus lactis,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,lactis,,
Edwardsiella tarda ATCC 23685,513,20181030,supernatant,pyg,12,30,s03071,s03172,s02970,c0274,Edwardsiella tarda,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Hafniaceae,Edwardsiella,tarda,,
Prevotella buccalis ATCC 35310,514,20180728,supernatant,pyg,46.5,40,s02763,s02567,s02370,c0494,Prevotella buccalis,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,buccalis,,
Prevotella buccalis ATCC 35310,515,20180728,supernatant,pyg,,,s02764,s02568,s02371,c0494,Prevotella buccalis,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,buccalis,,
Prevotella buccalis ATCC 35310,516,20180728,supernatant,pyg,,,s02765,s02569,s02372,c0494,Prevotella buccalis,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,buccalis,,
Acidaminococcus sp. HPA0509 BEI HM-853,517,20180512,supernatant,mm,12,24,s00437,s00313,,c0003,Acidaminococcus,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,,HPA0509,
Acidaminococcus sp. HPA0509 BEI HM-853,518,20180512,supernatant,mm,12,24,s00438,s00314,s00561,c0003,Acidaminococcus,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,,HPA0509,
Acidaminococcus sp. HPA0509 BEI HM-853,519,20180512,supernatant,mm,12,24,s00439,s00315,s00562,c0003,Acidaminococcus,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,,HPA0509,
Acidaminococcus sp. HPA0509 BEI HM-853,520,20180512,supernatant,mm,12,24,s00440,s00316,s00563,c0003,Acidaminococcus,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,,HPA0509,
Acidaminococcus sp. HPA0509 BEI HM-853,521,20180512,supernatant,mm,12,24,s00441,s00317,s00564,c0003,Acidaminococcus,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,,HPA0509,
Bacteroides thetaiotaomicron 8702,525,20180629,supernatant,mm,24,25,s01661,s01479,s01291,c0199,Bacteroides thetaiotaomicron,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,thetaiotaomicron,8702,
Bacteroides thetaiotaomicron 8702,526,20180629,supernatant,mm,24,25,s01662,s01480,s01292,c0199,Bacteroides thetaiotaomicron,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,thetaiotaomicron,8702,
Bacteroides thetaiotaomicron 8702,527,20180629,supernatant,mm,24,25,s01663,s01481,s01293,c0199,Bacteroides thetaiotaomicron,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,thetaiotaomicron,8702,
Bacteroides cellulosilyticus CL02T12C19 BEI HM-726,528,20180629,supernatant,mm,24,25,s01568,s01386,s01198,c0160,Bacteroides cellulosilyticus,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,cellulosilyticus,CL02T12C19,
Bacteroides cellulosilyticus CL02T12C19 BEI HM-726,529,20180629,supernatant,mm,24,25,s01569,s01387,s01199,c0160,Bacteroides cellulosilyticus,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,cellulosilyticus,CL02T12C19,
Bacteroides cellulosilyticus CL02T12C19 BEI HM-726,530,20180629,supernatant,mm,24,25,s01570,s01388,s01200,c0160,Bacteroides cellulosilyticus,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,cellulosilyticus,CL02T12C19,
Proteus penneri ATCC 35198,531,20180716,supernatant,mm,16,29,s01808,s01930,s02038,c0277,Proteus penneri,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Morganellaceae,Proteus,penneri,,
Proteus penneri ATCC 35198,532,20180716,supernatant,mm,16,29,s01809,s01931,s02039,c0277,Proteus penneri,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Morganellaceae,Proteus,penneri,,
Proteus penneri ATCC 35198,533,20180716,supernatant,mm,16,29,s01810,s01932,s02040,c0277,Proteus penneri,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Morganellaceae,Proteus,penneri,,
Ruminococcus torques ATCC 27756,534,20180728,supernatant,mm,21,40,s02711,s02515,s02317,c0143,Ruminococcus torques,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,torques,,
Ruminococcus torques ATCC 27756,535,20180728,supernatant,mm,,,s02712,s02516,s02318,c0143,Ruminococcus torques,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,torques,,
Ruminococcus torques ATCC 27756,536,20180728,supernatant,mm,,,s02713,s02517,s02319,c0143,Ruminococcus torques,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,torques,,
,538,20180728,media_blank,pyg_muc,,,s02818,s02622,s02426,,,,,,,,,,,
,539,20180728,media_blank,pyg_muc,,,s02819,s02623,s02427,,,,,,,,,,,
,540,20180728,media_blank,pyg_muc,,,s02820,s02624,s02428,,,,,,,,,,,
Streptococcus parasanguinis CC87K BEI HM-1060,541,20180720,supernatant,mm,12,33.75,s02829,s02165,s02088,c0149,Streptococcus parasanguinis,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,parasanguinis,CC87K,
Bacteroides fragilis CL03T12C07 BEI HM-714,542,20180629,supernatant,mm,24,25,s01607,s01425,s01237,c0179,Bacteroides fragilis,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,fragilis,CL03T12C07,
Bacteroides fragilis CL03T12C07 BEI HM-714,543,20180629,supernatant,mm,24,25,s01608,s01426,s01238,c0179,Bacteroides fragilis,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,fragilis,CL03T12C07,
Bacteroides fragilis CL03T12C07 BEI HM-714,544,20180629,supernatant,mm,24,25,s01609,s01427,s01239,c0179,Bacteroides fragilis,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,fragilis,CL03T12C07,
Clostridium cadaveris CC88A BEI HM-1041,545,20181030,supernatant,mm,12,30,s03026,s03127,s02925,c0043,Clostridium cadaveris,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridaceae,Clostridium,cadaveris,CC88A,
Clostridium citroniae WAL-17108 BEI HM-315,546,20180618,supernatant,mm,12,24,s00919,s00747,s01082,c0045,Clostridium citroniae,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridaceae,Clostridium,citroniae,WAL-17108,
Clostridium citroniae WAL-17108 BEI HM-315,547,20180618,supernatant,mm,12,24,s00920,s00748,s01083,c0045,Clostridium citroniae,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridaceae,Clostridium,citroniae,WAL-17108,
Clostridium citroniae WAL-17108 BEI HM-315,548,20180618,supernatant,mm,12,24,s00921,s00749,s01084,c0045,Clostridium citroniae,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridaceae,Clostridium,citroniae,WAL-17108,
Bifidobacterium breve DSMZ 20213,552,20180728,supernatant,mm,21,40,s02635,s02439,s02241,c0244,Bifidobacterium breve,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,breve,,
Bifidobacterium breve DSMZ 20213,553,20180728,supernatant,mm,,,s02636,s02440,s02242,c0244,Bifidobacterium breve,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,breve,,
Bifidobacterium breve DSMZ 20213,554,20180728,supernatant,mm,,,s02637,s02441,s02243,c0244,Bifidobacterium breve,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,breve,,
Anaerostipes sp. 3_2_56FAA BEI HM-220 904a,555,20180618,supernatant,mm,12,24,s00874,s00700,s01037,c0009,Anaerostipes,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerostipes,,3_2_56FAA,904a
Anaerostipes sp. 3_2_56FAA BEI HM-220 904a,556,20180618,supernatant,mm,12,24,s00875,s00701,s01038,c0009,Anaerostipes,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerostipes,,3_2_56FAA,904a
Anaerostipes sp. 3_2_56FAA BEI HM-220 904a,557,20180618,supernatant,mm,12,24,s00876,s00702,s01039,c0009,Anaerostipes,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerostipes,,3_2_56FAA,904a
Clostridium clostridioforme WAL-7855 BEI HM-317,558,20180512,supernatant,mm,12,24,s00466,s00342,s00589,c0047,Clostridium clostridioforme,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridaceae,Clostridium,clostridioforme,WAL-7855,
Clostridium clostridioforme WAL-7855 BEI HM-317,559,20180512,supernatant,mm,12,24,s00467,s00343,s00590,c0047,Clostridium clostridioforme,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridaceae,Clostridium,clostridioforme,WAL-7855,
Clostridium clostridioforme WAL-7855 BEI HM-317,560,20180512,supernatant,mm,12,24,s00468,s00344,s00591,c0047,Clostridium clostridioforme,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridaceae,Clostridium,clostridioforme,WAL-7855,
Clostridium clostridioforme WAL-7855 BEI HM-317,561,20180512,supernatant,mm,12,24,s00469,s00345,s00592,c0047,Clostridium clostridioforme,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridaceae,Clostridium,clostridioforme,WAL-7855,
Clostridium clostridioforme WAL-7855 BEI HM-317,562,20180512,supernatant,mm,12,24,s00470,s00346,s00593,c0047,Clostridium clostridioforme,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridaceae,Clostridium,clostridioforme,WAL-7855,
,563,20180728,media_blank,tsab,21,40,s02653,s02457,s02259,,,,,,,,,,,
,564,20180728,media_blank,tsab,,,s02654,s02458,s02260,,,,,,,,,,,
,565,20180728,media_blank,tsab,,,s02655,,s02261,,,,,,,,,,,
Coprococcus sp. HPP0048 BEI HM-794,573,20181030,supernatant,mm,12,30,s03015,s03116,s02914,c0080,Coprococcus,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus,,HPP0048,
Bacteroides vulgatus ATCC 8482,574,20180629,supernatant,mm,24,25,s01685,s01518,s01315,c0211,Bacteroides vulgatus,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,vulgatus,,
Bacteroides vulgatus ATCC 8482,575,20180629,supernatant,mm,24,25,s01686,s01519,s01316,c0211,Bacteroides vulgatus,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,vulgatus,,
Bacteroides vulgatus ATCC 8482,576,20180629,supernatant,mm,24,25,s01687,s01520,s01317,c0211,Bacteroides vulgatus,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,vulgatus,,
,577,20181030,media_blank,pyg,16,30,s03010,s03111,s02909,,,,,,,,,,,
,584,20180728,media_blank,rcmwoa,46.5,40,s02766,s02570,s02373,,,,,,,,,,,
,585,20180728,media_blank,rcmwoa,,,s02767,s02571,s02374,,,,,,,,,,,
,586,20180728,media_blank,rcmwoa,,,s02768,s02572,s02375,,,,,,,,,,,
Bacteroides thetaiotaomicron wh302,594,20181030,supernatant,mm,12,30,s03025,s03126,s02924,c0202,Bacteroides thetaiotaomicron,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,thetaiotaomicron,wh302,
,595,20180728,media_blank,rcml,46.5,40,s02742,s02546,s02348,,,,,,,,,,,
,596,20180728,media_blank,rcml,,,s02743,s02547,s02349,,,,,,,,,,,
,597,20180728,media_blank,rcml,,,s02744,s02548,s02350,,,,,,,,,,,
