id,TGG OTU_ID(ANI0.95),dRep OTU_ID(ANI0.95),Type,Contig_numbers,N50,Genome_length,GC,Completeness,Contamination,Strain_heterogeneity,Num_CDS,Num_Gene,Num_5S_rRNA,Num_16S_rRNA,Num_23S_rRNA,Num_tRNA,Quality_score,Quality_tier_standard(MIMAG，10.1038/nbt.3893),GTDB_classification
ISO_B33-1*,TGG_OTU344,395_0,Cultivated,19,457880,3541640,0.675723,99.49,0,0,3460,3512,1,1,1,46,99.49,High,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__SISG01;s__
ISO_N1997-2-1*,TGG_OTU345,396_0,Cultivated,4,1666855,3234791,0.649586,99.44,0,0,3153,3208,1,1,1,46,99.44,High,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__SISG01;s__
MAG_18PLSC_metabat2_bin.55,TGG_OTU357,406_1,MAG,623,16087,5904175,0.71336,97.64,3.56,0,5724,5785,1,0,0,46,79.84,Medium,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Pseudonocardiaceae;g__Pseudonocardia;s__
MAG_1906TGLS_maxbin2_bin.13*,TGG_OTU360,409_1,MAG,32,267313,3320576,0.703644,97.13,0.69,50,3355,3405,1,1,1,46,93.68,High,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Nocardioidaceae;g__Aeromicrobium;s__
MAG_1906TGLS_metabat2_bin.46,TGG_OTU360,409_1,MAG,28,267313,3313968,0.70607,97.08,0.69,50,3354,3404,1,1,1,46,93.63,High,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Nocardioidaceae;g__Aeromicrobium;s__
MAG_TGLI1.17_maxbin2_bin.7,TGG_OTU363,411_1,MAG,221,28150,3176772,0.711387,98.57,4.86,6.25,3125,3175,1,1,1,46,74.27,High,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__SCTD01;g__SCTD01;s__
MAG_TGLI3.17_vamb_bins_S1C5214,TGG_OTU363,411_1,MAG,118,31796,2683426,0.717305,90.46,1.62,0,2613,2662,1,1,2,46,82.36,High,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__SCTD01;g__SCTD01;s__
MAG_KQGRSC.20.08_metabat2_bin.65*,TGG_OTU393,438_0,MAG,372,11128,2836467,0.646773,94.66,3.51,33.33,2849,2897,1,0,0,46,77.11,High,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__UBA10887;s__
ISO_ND-2,TGG_OTU400,444_1,Cultivated,19,592428,3986238,0.668328,100,0,0,3541,3599,1,1,1,46,100,High,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Brevibacteriaceae;g__Brevibacterium;s__
ISO_Y1117-1A1.001*,TGG_OTU400,444_1,Cultivated,16,646902,3945084,0.643311,100,0,0,3483,3539,0,1,0,46,100,Medium,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Brevibacteriaceae;g__Brevibacterium;s__
MAG_ZPGI1.20.10_maxbin2_bin.17*,TGG_OTU414,457_1,MAG,320,46334,9170021,0.686877,94.36,4.32,0,7572,7620,1,0,0,46,72.76,High,d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Myxococcaceae;g__Melittangium;s__
MAG_1907QYI1_metabat2_bin.41,TGG_OTU422,464_1,MAG,670,15322,7228775,0.676141,93.16,2.72,0,5490,5555,1,1,1,46,79.56,High,d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__UBA5704;f__UBA5704;g__;s__
MAG_1907MDGRS_maxbin2_bin.9,TGG_OTU425,467_1,MAG,178,53724,4527983,0.688907,99.57,0.85,50,4259,4312,1,3,1,46,95.32,High,d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Deinococcaceae;g__Deinococcus;s__Deinococcus sp002017875
MAG_1908KQGRS1_maxbin2_bin.20,TGG_OTU425,467_1,MAG,197,48465,4719560,0.689149,99.15,0.85,50,4459,4514,1,3,1,46,94.9,High,d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Deinococcaceae;g__Deinococcus;s__Deinococcus sp002017875
MAG_1908KQGRS3_maxbin2_bin.8,TGG_OTU425,467_1,MAG,166,55497,4434150,0.691239,93.62,0.85,50,4187,4242,2,3,1,46,89.37,High,d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Deinococcaceae;g__Deinococcus;s__Deinococcus sp002017875
MAG_1909JMYZI3_maxbin2_bin.17,TGG_OTU425,467_1,MAG,191,48465,4486227,0.689918,99.57,0.85,50,4191,4245,1,3,0,46,95.32,Medium,d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Deinococcaceae;g__Deinococcus;s__Deinococcus sp002017875
MAG_1907MDGRS_metabat2_bin.44,TGG_OTU425,467_1,MAG,116,55497,3568104,0.694087,99.15,0.85,50,3365,3415,1,3,0,46,94.9,Medium,d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Deinococcaceae;g__Deinococcus;s__Deinococcus sp002017875
MAG_KXWS_metabat2_bin.4,TGG_OTU425,467_1,MAG,225,32383,4358068,0.69035,99.15,0.85,50,4040,4093,0,3,0,46,94.9,Medium,d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Deinococcaceae;g__Deinococcus;s__Deinococcus sp002017875
MAG_KQGRSC.20.08_metabat2_bin.4,TGG_OTU459,498_1,MAG,176,38739,4267195,0.683714,81.38,1.72,100,3846,3894,1,0,0,46,72.78,Medium,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__JOSHI-001;s__
MAG_1907QMI1_metabat2_bin.54,TGG_OTU466,503_1,MAG,284,22523,4096198,0.630433,96.04,2.84,44.44,3767,3817,0,0,0,46,81.84,Medium,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Aquabacterium;s__
MAG_1907QMI2_metabat2_bin.83,TGG_OTU466,503_1,MAG,321,19089,4040944,0.632815,95.46,3.69,29.41,3731,3780,0,0,0,46,77.01,Medium,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Aquabacterium;s__
MAG_1907QMI2_metabat2_bin.82,TGG_OTU469,505_1,MAG,36,192525,3416801,0.660665,99.38,0.7,50,2984,3030,0,0,0,46,95.88,Medium,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Aquabacterium;s__
MAG_1907QMI2_vamb_S1C307*,TGG_OTU469,505_1,MAG,29,192525,3370591,0.662685,97.98,0.7,50,2946,2992,0,0,0,46,94.48,Medium,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Aquabacterium;s__
MAG_1907NJYTI1_metabat2_bin.34,TGG_OTU471,507_1,MAG,229,33552,4169444,0.673662,97.67,1.52,28.57,3706,3760,0,0,0,46,90.07,Medium,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Aquabacterium;s__Aquabacterium sp001770725
MAG_1905ZF6500I1_metabat2_bin.5,TGG_OTU471,507_1,MAG,146,46863,3990877,0.668399,95.88,1.79,100,3530,3584,0,0,0,46,86.93,Medium,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Aquabacterium;s__Aquabacterium sp001770725
MAG_190624KS1_metabat2_bin.2,TGG_OTU488,521_1,MAG,136,73124,4626361,0.66245,94.7,4.63,21.43,4350,4398,0,0,0,46,71.55,Medium,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Variovorax;s__
MAG_RWS.20.06_metabat2_bin.63*,TGG_OTU492,523_0,MAG,169,47539,5117454,0.671621,93.38,2.41,50,4733,4783,0,0,0,46,81.33,High,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Xylophilus;s__
MAG_1905ZF6360I3_metabat2_bin.4,TGG_OTU494,525_1,MAG,165,95484,8236969,0.693537,99.38,0.93,0,7584,7644,0,0,0,46,94.73,Medium,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Pseudorhodoferax;s__
ISO_B44,TGG_OTU514,542_1,Cultivated,93,147481,4042958,0.605505,100,0.18,0,3749,3805,1,1,1,46,99.1,High,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Polaromonas;s__
ISO_B68-3,TGG_OTU516,542_3,Cultivated,95,127766,4423288,0.606722,100,0.03,0,4061,4116,1,1,1,46,99.85,High,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Polaromonas;s__Polaromonas glacialis
MAG_1907QMI3_metabat2_bin.69,TGG_OTU545,568_1,MAG,237,22210,3554529,0.604094,91.24,4.26,61.11,3239,3289,0,0,0,46,69.94,Medium,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Janthinobacterium;s__
MAG_1905ZF6360I3_metabat2_bin.9*,TGG_OTU557,574_0,MAG,447,18286,5116632,0.663919,96.27,4.83,17.24,4567,4617,1,0,0,46,72.12,Medium,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Massilia;s__
MAG_1908TGLC3_vamb_S1C6641*,TGG_OTU579,591_1,MAG,178,39586,4976790,0.573916,97.1,0.65,0,4238,4290,1,0,0,46,93.85,Medium,d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__Citrifermentans;s__
MAG_1908TGLC3_metabat2_bin.32,TGG_OTU579,591_1,MAG,192,39218,4903674,0.572315,96.45,0.65,0,4163,4215,1,0,0,46,93.2,Medium,d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__Citrifermentans;s__
MAG_1901QYI1_metabat2_bin.4,TGG_OTU581,593_1,MAG,225,13722,1984714,0.665052,93.92,0.71,0,1775,1827,0,1,0,46,90.37,Medium,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__UBA953;g__UBA953;s__
MAG_TGLI3.17_vamb_bins_S1C22,TGG_OTU627,628_1,MAG,45,84649,3156094,0.661873,97.59,0.69,0,2950,2996,0,0,0,46,94.14,High,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Lysobacter;s__
MAG_1907PLC2_metabat2_bin.97,TGG_OTU666,660_1,MAG,133,110796,3823756,0.642675,96.14,1.51,18.18,3643,3693,0,0,0,46,88.59,Medium,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__BOG-908;s__
ISO_167*,TGG_OTU673,667_1,Cultivated,19,679542,3243694,0.639568,99.68,0.65,0,3143,3195,1,1,1,46,96.43,High,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;s__Brevundimonas diminuta
ISO_A18-4-2,TGG_OTU673,667_1,Cultivated,20,423136,3243674,0.641774,99.68,0.65,0,3142,3194,1,1,1,46,96.43,High,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;s__Brevundimonas diminuta
ISO_GM2-3-4.001,TGG_OTU674,668_1,Cultivated,27,453073,4015309,0.648148,99.35,1,0,3802,3858,2,2,2,46,94.35,High,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;s__Brevundimonas bullata
ISO_Y429-1.001,TGG_OTU679,670_1,Cultivated,41,226511,3344724,0.673209807,99.35,0.32,0,3213,3264,1,1,1,46,97.75,High,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;s__Brevundimonas sp002434505
ISO_Y636-1.001,TGG_OTU679,670_1,Cultivated,41,226520,3338654,0.673158704,99.13,0.32,0,3206,3257,1,1,1,46,97.53,High,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;s__Brevundimonas sp002434505
ISO_TWP2-1*,TGG_OTU682,671_3,Cultivated,90,2059884,3462824,0.519215,99.19,1.68,11.11,3340,3391,2,3,3,46,90.79,High,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;s__
ISO_GM2-0-2*,TGG_OTU686,675_0,Cultivated,7,990810,3357925,0.648727,100,0.65,0,3200,3253,1,1,1,46,96.75,High,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;s__
MAG_1906TGLS_metabat2_bin.41,TGG_OTU695,681_1,MAG,266,25453,3314679,0.683415,76,1.72,0,3269,3322,0,0,0,46,67.4,Medium,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;s__Brevundimonas subvibrioides
ISO_B136-1,TGG_OTU698,683_2,Cultivated,77,158789,3407191,0.647254,100,0.81,0,3302,3356,1,1,1,46,95.95,High,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;s__Brevundimonas subvibrioides_B
ISO_B136-2,TGG_OTU698,683_2,Cultivated,78,158789,3407176,0.647468,100,0.81,0,3303,3357,1,1,1,46,95.95,High,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;s__Brevundimonas subvibrioides_B
ISO_B206-2,TGG_OTU698,683_2,Cultivated,75,287247,3456898,0.648065,100,0.49,0,3354,3408,1,1,1,46,97.55,High,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;s__Brevundimonas subvibrioides_B
ISO_DC300-4*,TGG_OTU698,683_2,Cultivated,117,396058,3585973,0.632363,100,0.97,0,3468,3522,1,1,3,46,95.15,High,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;s__Brevundimonas subvibrioides_B
ISO_B695-2,TGG_OTU704,688_1,Cultivated,105,96727,4316394,0.646482,100,1.57,0,4165,4218,1,1,1,46,92.15,High,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Caulobacter;s__
ISO_DWR1-3-2.001*,TGG_OTU704,688_1,Cultivated,72,145940,4386312,0.644647,100,1.81,0,4214,4265,0,1,0,46,90.95,Medium,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Caulobacter;s__
ISO_B344-1*,TGG_OTU705,688_2,Cultivated,24,479615,4286826,0.653538,99.68,1.3,0,4047,4101,1,1,1,46,93.18,High,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Caulobacter;s__
ISO_Y38.002*,TGG_OTU710,692_1,Cultivated,66,310508,5715003,0.581186,99.39,1.57,0,5556,5610,0,2,2,46,91.54,Medium,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Agrobacterium;s__Agrobacterium pusense
ISO_DC2300-2,TGG_OTU715,695_1,Cultivated,114,418961,5264896,0.563155,100,0.43,0,5004,5056,1,5,6,46,97.85,High,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Phyllobacterium;s__Phyllobacterium sp900539805
ISO_LHG3406-1*,TGG_OTU739,715_1,Cultivated,23,2845504,2851733,0.585273,100,0.44,0,2737,2792,3,2,2,46,97.8,High,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas_A;s__
MAG_1909JMYZI2_vamb_S1C8285*,TGG_OTU750,724_1,MAG,94,55201,3453727,0.635571,92.68,2.64,69.23,3252,3300,0,0,0,46,79.48,Medium,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingobium;s__
ISO_DC1600-2*,TGG_OTU761,734_1,Cultivated,59,592471,3716955,0.645313435,99.32,1.21,0,3523,3581,1,10,18,46,93.27,High,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__Sphingomonas sp000797515
MAG_1908KQGRS2_vamb_S1C2290,TGG_OTU762,735_1,MAG,74,72308,3562067,0.665571,94.57,2.81,21.74,3311,3358,0,0,0,46,80.52,Medium,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__Sphingomonas sp004354345
ISO_AS5824-4,TGG_OTU764,736_2,Cultivated,10,1137814,4170057,0.639131,99.66,0.71,25,3738,3791,0,1,1,46,96.11,Medium,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__Sphingomonas taxi_A
ISO_AS5800-2*,TGG_OTU764,736_2,Cultivated,9,1137814,4156288,0.636799,98.98,0.71,25,3726,3779,0,1,1,46,95.43,Medium,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__Sphingomonas taxi_A
MAG_1908KQGRI1_maxbin2_bin.27,TGG_OTU770,740_1,MAG,414,13429,3429657,0.668632,63.9,1.75,100,3196,3241,0,0,0,46,55.15,Medium,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__
ISO_AS5674-1,TGG_OTU771,741_1,Cultivated,13,1065179,4241213,0.624494,99.66,0.54,0,3779,3837,1,1,1,46,96.96,High,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__Sphingomonas aerolata
MAG_1908KQGRS_metabat2_bin.9,TGG_OTU772,742_1,MAG,166,83507,4026380,0.672391,98.77,3.61,15,3757,3809,0,0,0,46,80.72,Medium,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__
MAG_1908TGLS2_maxbin2_bin.1.001,TGG_OTU775,745_1,MAG,61,103271,3527301,0.671239,99.61,0.95,62.5,3320,3375,0,1,0,46,94.86,Medium,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__Sphingomonas melonis
MAG_1908TGLS3_maxbin2_bin.2,TGG_OTU775,745_1,MAG,79,100893,3561698,0.664084,99.61,1.28,0,3350,3405,0,0,0,46,93.21,Medium,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__Sphingomonas melonis
MAG_1908TGLS2_vamb_S1C5721,TGG_OTU775,745_1,MAG,48,105035,3381042,0.673299,99.5,0.95,62.5,3170,3225,0,1,0,46,94.75,Medium,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__Sphingomonas melonis
MAG_1907QMI1_metabat2_bin.4,TGG_OTU775,745_1,MAG,52,163122,3428995,0.673789,99.15,0.85,33.33,3218,3273,0,0,0,46,94.9,Medium,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__Sphingomonas melonis
MAG_1901QYI1_metabat2_bin.24,TGG_OTU775,745_1,MAG,256,24299,3679862,0.673541,98.2,2.71,68.75,3478,3533,0,0,0,46,84.65,Medium,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__Sphingomonas melonis
MAG_1907QMI2_maxbin2_bin.10.002,TGG_OTU775,745_1,MAG,117,153394,3605503,0.678028,97.8,4.93,20,3388,3442,0,0,0,46,73.15,Medium,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__Sphingomonas melonis
MAG_1907NJYTI1_vamb_S1C55,TGG_OTU775,745_1,MAG,495,8901,3357339,0.673163,83.18,1.56,70,3226,3280,1,2,2,46,75.38,Medium,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__Sphingomonas melonis
ISO_GLY1900*,TGG_OTU776,746_0,Cultivated,27,378297,3769160,0.659213,99.32,0,0,3559,3613,1,1,1,46,99.32,High,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__
MAG_1909JMYZI2_vamb_S1C8855,TGG_OTU783,751_1,MAG,39,117910,3297024,0.66863,97.13,0.82,12.5,3064,3115,0,0,0,46,93.03,Medium,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__
MAG_1909JMYZI1_metabat2_bin.54,TGG_OTU783,751_1,MAG,59,118908,3302047,0.665191,96.54,2.68,28.57,3071,3122,0,0,0,46,83.14,Medium,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__
MAG_1909JMYZI1_vamb_S1C20355*,TGG_OTU783,751_1,MAG,34,118908,3158898,0.668295,94.88,0.78,37.5,2958,3009,0,0,0,46,90.98,Medium,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__
MAG_TGLSC.20.08_maxbin2_bin.23,TGG_OTU826,789_1,MAG,639,11467,4066544,0.436018,95.48,2.11,63.64,3667,3716,1,1,1,46,84.93,High,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Coleofasciculaceae;g__;s__
MAG_KQGRSC.20.08_maxbin2_bin.43,TGG_OTU826,789_1,MAG,923,7442,4302338,0.430568,93.89,4.37,63.64,3967,4015,0,0,1,46,72.04,High,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Coleofasciculaceae;g__;s__
MAG_1908KQGRI1_vamb_S1C12468,TGG_OTU850,807_2,MAG,172,18741,2523696,0.404775,78.62,2.59,50,2310,2352,0,0,0,46,65.67,Medium,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter sp004331285
ISO_B869-1,TGG_OTU9,106_1,Cultivated,19,406812,3429209,0.352736,99.29,0,0,3026,3075,1,1,1,46,99.29,High,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__Flavobacterium xueshanense
ISO_B1439-1,TGG_OTU9,106_1,Cultivated,47,184675,3468010,0.348535,99.29,0.03,0,3055,3104,1,1,3,46,99.14,High,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__Flavobacterium xueshanense
ISO_B412-1,TGG_OTU9,106_1,Cultivated,24,399190,3400736,0.347118,99.29,0,0,3005,3053,0,3,1,46,99.29,Medium,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__Flavobacterium xueshanense
MAG_QYSC.20.08_metabat2_bin.76,TGG_OTU904,856_1,MAG,148,41733,2599949,0.416462,97.16,0.71,0,2337,2385,2,0,0,46,93.61,High,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__UBA5774;s__
ISO_B292-1,TGG_OTU10,106_2,Cultivated,32,420762,3498706,0.350883,99.65,0,0,3058,3107,1,1,1,45,99.65,High,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__
ISO_N2004-1-2,TGG_OTU10,106_2,Cultivated,37,515207,3499848,0.327366,99.65,0.18,0,3084,3133,1,1,1,45,98.75,High,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__
ISO_N1998-1-2,TGG_OTU10,106_2,Cultivated,34,246528,3621879,0.346531,99.65,0,0,3166,3214,0,1,1,45,99.65,Medium,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__
ISO_N2004-2-3,TGG_OTU10,106_2,Cultivated,36,339599,3576797,0.340407,99.65,0.09,0,3135,3183,0,1,1,45,99.2,Medium,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__
ISO_B380-1,TGG_OTU10,106_2,Cultivated,52,246719,3620284,0.348352,99.29,0,0,3178,3226,0,1,1,45,99.29,Medium,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__
MAG_1812RWS_metabat2_bin.14,TGG_OTU117,201_1,MAG,495,8497,3020490,0.619963,94.11,2.05,50,3053,3100,0,0,0,45,83.86,Medium,d__Bacteria;p__Eremiobacterota;c__Eremiobacteria;o__UBP12;f__UBA5184;g__Palsa-1515;s__
MAG_1611DDSC3_maxbin2_bin.39,TGG_OTU150,230_1,MAG,606,18804,5146847,0.63593,99.69,2.83,0,4694,4747,0,0,0,45,85.54,Medium,d__Bacteria;p__Chloroflexota;c__Chloroflexia;o__Chloroflexales;f__Roseiflexaceae;g__;s__
MAG_KQGRI2.20.08_vamb_bins_S1C5129*,TGG_OTU161,240_1,MAG,99,50625,3511374,0.671319,92.31,2.2,0,3149,3196,1,0,0,45,81.31,High,d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__AG11;s__
MAG_1905ZF6500I1_vamb_S1C4479,TGG_OTU174,252_1,MAG,205,39963,4888554,0.647192,98.06,1.17,20,4649,4702,3,0,0,45,92.21,Medium,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Rhodococcus;s__Rhodococcus fascians
MAG_1908NJYTI1_maxbin2_bin.0,TGG_OTU179,257_1,MAG,73,157025,4038572,0.496932,99.86,1.18,0,3617,3668,0,1,1,45,93.96,Medium,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Undibacterium;s__
