"column1","column2","column3","column4","column5","column6","column7","column8"
"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Burkholderiaceae","g__Herminiimonas","MAG_190624KS3_metabat2_bin.13",
"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Burkholderiaceae","g__Massilia","ISO_N2006-1-2*",
"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Pseudomonas_E","s__Pseudomonas_E sp000346755","MAG_1907QMS_metabat2_bin.60"
"d__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Acetobacterales","f__Acetobacteraceae","MAG_1907PLC1_metabat2_bin.45",,
"d__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Caulobacterales","f__Caulobacteraceae","g__Brevundimonas","s__Brevundimonas mediterranea","ISO_TSRC1-1"
"d__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Sphingomonadales","f__Sphingomonadaceae","g__Sphingomonas","s__Sphingomonas sp004354345","MAG_1905ZF6400I1_metabat2_bin.41.002"
"d__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Sphingomonadales","f__Sphingomonadaceae","g__Sphingomonas","s__Sphingomonas melonis","MAG_1907QMI3_metabat2_bin.65"
"d__Bacteria","p__Cyanobacteria","c__Cyanobacteriia","o__Cyanobacteriales","f__Coleofasciculaceae","MAG_MGGQSC.20.08_maxbin2_bin.38",,
"d__Bacteria","p__Cyanobacteria","c__Cyanobacteriia","o__Cyanobacteriales","f__Phormidiaceae","g__Microcoleus","MAG_KQGRI2.20.08_maxbin2_bin.14",
"d__Bacteria","p__Cyanobacteria","c__Cyanobacteriia","o__Pseudanabaenales","f__Pseudanabaenaceae","MAG_KQGRSC.20.08_metabat2_bin.64",,
"d__Bacteria","p__Firmicutes","c__Bacilli","o__Staphylococcales","f__Staphylococcaceae","g__Staphylococcus","s__Staphylococcus equorum","ISO_Y284-1"
"d__Bacteria","p__Firmicutes","c__Bacilli","o__Staphylococcales","f__Staphylococcaceae","g__Staphylococcus","s__Staphylococcus equorum","ISO_Y462-1.001"
"d__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Bacillaceae_G","g__Bacillus_A","s__Bacillus_A cereus","ISO_138"
"d__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Bacillaceae_G","g__Bacillus_A","s__Bacillus_A paranthracis","ISO_Y-RC-5-2A2.001"
"d__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Bacillaceae_G","g__Bacillus_A","s__Bacillus_A anthracis","ISO_R9-5"
"d__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Bacillaceae_G","g__Bacillus_A","s__Bacillus_A albus","ISO_N117-2"
"d__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Bacillaceae_G","g__Bacillus_A","s__Bacillus_A albus","ISO_N81-2"
"d__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Bacillaceae_G","g__Bacillus_A","s__Bacillus_A albus","ISO_N81-3"
"d__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Bacillaceae_G","g__Bacillus_A","s__Bacillus_A albus","ISO_R23-3"
"d__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Bacillaceae_G","g__Bacillus_A","s__Bacillus_A albus","ISO_R9-6-2"
"d__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Bacillaceae_G","g__Bacillus_A","s__Bacillus_A albus","ISO_RC15-6-1-1"
"d__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Bacillaceae_G","g__Bacillus_A","s__Bacillus_A albus","ISO_RC15-6-3"
"d__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Bacillaceae_G","g__Bacillus_A","s__Bacillus_A albus","ISO_RC7-5"
"d__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Bacillaceae_G","g__Bacillus_A","s__Bacillus_A albus","ISO_RC9-5-2"
"d__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Bacillaceae_G","g__Bacillus_A","s__Bacillus_A albus","ISO_Y143-1"
"d__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Bacillaceae_G","g__Bacillus_A","s__Bacillus_A albus","ISO_Y143-2"
"d__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Bacillaceae_G","g__Bacillus_A","s__Bacillus_A albus","ISO_Y192-1"
"d__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Bacillaceae_G","g__Bacillus_A","s__Bacillus_A albus","ISO_Y2-1"
"d__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Bacillaceae_G","g__Bacillus_A","s__Bacillus_A albus","ISO_Y304"
"d__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Bacillaceae_G","g__Bacillus_A","s__Bacillus_A albus","ISO_Y312-2"
"d__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Bacillaceae_G","g__Bacillus_A","s__Bacillus_A albus","ISO_Y313-3"
"d__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Bacillaceae_G","g__Bacillus_A","s__Bacillus_A albus","ISO_Y334"
"d__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Bacillaceae_G","g__Bacillus_A","s__Bacillus_A albus","ISO_Y360-1"
"d__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Bacillaceae_G","g__Bacillus_A","s__Bacillus_A albus","ISO_Y360-2"
"d__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Bacillaceae_G","g__Bacillus_A","s__Bacillus_A albus","ISO_Y363-1"
"d__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Bacillaceae_G","g__Bacillus_A","s__Bacillus_A albus","ISO_Y381-2"
"d__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Bacillaceae_G","g__Bacillus_A","s__Bacillus_A albus","ISO_Y396"
"d__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Bacillaceae_G","g__Bacillus_A","s__Bacillus_A albus","ISO_Y439-3"
"d__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Bacillaceae_G","g__Bacillus_A","s__Bacillus_A albus","ISO_Y443-1"
"d__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Bacillaceae_G","g__Bacillus_A","s__Bacillus_A albus","ISO_Y449-2"
"d__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Bacillaceae_G","g__Bacillus_A","s__Bacillus_A albus","ISO_Y449-4"
"d__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Bacillaceae_G","g__Bacillus_A","s__Bacillus_A albus","ISO_Y467-1"
"d__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Bacillaceae_G","g__Bacillus_A","s__Bacillus_A albus","ISO_Y475-1"
"d__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Bacillaceae_G","g__Bacillus_A","s__Bacillus_A albus","ISO_Y483-1"
"d__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Bacillaceae_G","g__Bacillus_A","s__Bacillus_A albus","ISO_Y486-3"
"d__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Bacillaceae_G","g__Bacillus_A","s__Bacillus_A albus","ISO_Y487-1"
"d__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Bacillaceae_G","g__Bacillus_A","s__Bacillus_A albus","ISO_Y618-1"
"d__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Bacillaceae_G","g__Bacillus_A","s__Bacillus_A albus","ISO_Y618-2"
"d__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Bacillaceae_G","g__Bacillus_A","s__Bacillus_A albus","ISO_Y628"
"d__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Bacillaceae_G","g__Bacillus_A","s__Bacillus_A albus","ISO_Y630-4"
"d__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Bacillaceae_G","g__Bacillus_A","s__Bacillus_A albus","ISO_Y7-1"
"d__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Bacillaceae_G","g__Bacillus_A","s__Bacillus_A albus","ISO_Y732-5"
"d__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Bacillaceae_G","g__Bacillus_A","s__Bacillus_A albus","ISO_Y801-4"
"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Flavobacteriales","f__Flavobacteriaceae","g__Flavobacterium","s__Flavobacterium piscis","MAG_1909JMYZI1_vamb_S1C5944*"
"d__Bacteria","p__Chloroflexota","c__Chloroflexia","o__Chloroflexales","f__Roseiflexaceae","MAG_TGLSC.20.08_metabat2_bin.31",,
"d__Bacteria","p__Planctomycetota","c__Planctomycetes","o__Isosphaerales","f__Isosphaeraceae","g__Singulisphaera","MAG_TGLI4.17_metabat2_bin.22",
"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Flavobacteriales","f__Flavobacteriaceae","g__Flavobacterium","ISO_Y1294-1*",
"d__Bacteria","p__Gemmatimonadota","c__Gemmatimonadetes","o__Gemmatimonadales","f__GWC2-71-9","g__SPDF01","MAG_ZPGI1.20.10_metabat2_bin.31*",
"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Burkholderiaceae","g__Herminiimonas","MAG_1905ZF6400I1_metabat2_bin.4",
"d__Bacteria","p__Eremiobacterota","c__Eremiobacteria","o__UBP12","f__UBA5184","MAG_1907PLC3_metabat2_bin.130",,
"d__Bacteria","p__Actinobacteriota","c__Actinomycetia","o__Propionibacteriales","f__Nocardioidaceae","g__Aeromicrobium","MAG_PRGRI.17_vamb_bins_S1C8515",
"d__Bacteria","p__Actinobacteriota","c__Acidimicrobiia","o__Acidimicrobiales","f__SIRW01","MAG_TGLI4.17_metabat2_bin.19",,
"d__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Beijerinckiaceae","g__Methylobacterium","MAG_1908KQGRS_metabat2_bin.50",
"d__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Xanthobacteraceae","g__Tardiphaga","MAG_1908TGLS3_metabat2_bin.26",
"d__Bacteria","p__Actinobacteriota","c__Actinomycetia","o__Actinomycetales","f__Microbacteriaceae","g__Cryobacterium","ISO_Y141-4*",
"d__Bacteria","p__Actinobacteriota","c__Actinomycetia","o__Actinomycetales","f__Microbacteriaceae","g__Cryobacterium","ISO_Y293-3-2-2.002",
"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Burkholderiaceae","g__Aquabacterium","MAG_1907QMI2_maxbin2_bin.4",
"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Burkholderiaceae","g__Acidovorax_D","MAG_1906TGLS_metabat2_bin.36",
"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Burkholderiaceae","g__Variovorax","MAG_1908TGLI2_maxbin2_bin.18.002",
"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Burkholderiaceae","g__Polaromonas","ISO_N1998-1-3*",
"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Burkholderiaceae","g__Massilia","MAG_QYI.20.08_metabat2_bin.94",
"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Pseudomonas_E","s__Pseudomonas_E fluorescens_BA","ISO_Y256-1.001"
"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Pseudomonas_E","s__Pseudomonas_E lactis","ISO_Y418-1"
"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Pseudomonas_E","s__Pseudomonas_E sp002966775","ISO_Y287-1a.001"
"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Pseudomonas_E","s__Pseudomonas_E sp000346755","MAG_1907PL4S_maxbin2_bin.0"
"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Pseudomonas_E","s__Pseudomonas_E sp000346755","MAG_1907PL4S_vamb_S1C46"
"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Pseudomonas_E","s__Pseudomonas_E azotoformans_A","ISO_Y307-2-3-2.001"
"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Pseudomonas_E","s__Pseudomonas_E azotoformans_A","ISO_PWP3-1.001"
"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Pseudomonas_A","s__Pseudomonas_A stutzeri","ISO_Y-RC-5-2A2.002*"
"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Methylophilaceae","g__Methylobacillus","s__Methylobacillus glycogenes","MAG_1905ZF6360I3_maxbin2_bin.6"
"d__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Rhizobiaceae","g__Pararhizobium","ISO_PWRC1-1*",
"d__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Sphingomonadales","f__Sphingomonadaceae","g__Sphingomonas","s__Sphingomonas sp004354345","MAG_1908NJYTI1_metabat2_bin.25"
"d__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Sphingomonadales","f__Sphingomonadaceae","g__Sphingomonas","s__Sphingomonas melonis","ISO_DC5000-1"
"d__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Sphingomonadales","f__Sphingomonadaceae","g__Sphingomonas","s__Sphingomonas melonis","ISO_DC5200-1"
"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Burkholderiaceae","g__Paraburkholderia","s__Paraburkholderia fungorum","ISO_M42-1.001*"
"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Moraxellaceae","g__Acinetobacter","s__Acinetobacter guillouiae","MAG_1908TGLS2_metabat2_bin.10"
"d__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Planococcaceae","g__Paenisporosarcina","ISO_B2527",
"d__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Bacillaceae_G","g__Bacillus_A","s__Bacillus_A mobilis","ISO_155-1"
"d__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Bacillaceae_G","g__Bacillus_A","s__Bacillus_A mobilis","ISO_72"
"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Paludibacteraceae","g__Paludibacter","MAG_1908TGLC1_metabat2_bin.143",
"d__Bacteria","p__Actinobacteriota","c__Coriobacteriia","o__OPB41","f__PHET01","MAG_1908TGLC2_metabat2_bin.21*",,
"d__Bacteria","p__Planctomycetota","c__Planctomycetes","o__Gemmatales","f__Gemmataceae","g__UBA969","s__UBA969 sp003671255","MAG_1901QYI1_maxbin2_bin.7"
"d__Bacteria","p__Planctomycetota","c__Planctomycetes","o__Isosphaerales","f__Isosphaeraceae","g__Singulisphaera","MAG_TGLI3.17_maxbin2_bin.11",
"d__Bacteria","p__Gemmatimonadota","c__Gemmatimonadetes","o__Gemmatimonadales","f__Gemmatimonadaceae","g__Fen-1231","MAG_TGLI2.17_maxbin2_bin.13",
"d__Bacteria","p__Gemmatimonadota","c__Gemmatimonadetes","o__Gemmatimonadales","f__Gemmatimonadaceae","g__Fen-1231","MAG_TGLI3.17_maxbin2_bin.3",
"d__Bacteria","p__Gemmatimonadota","c__Gemmatimonadetes","o__Gemmatimonadales","f__Gemmatimonadaceae","g__Fen-1231","MAG_TGLI3.17_vamb_bins_S1C3514",
"d__Bacteria","p__Gemmatimonadota","c__Gemmatimonadetes","o__Gemmatimonadales","f__Gemmatimonadaceae","MAG_MGGQSC.20.08_metabat2_bin.58",,
"d__Bacteria","p__Gemmatimonadota","c__Gemmatimonadetes","o__Gemmatimonadales","f__Gemmatimonadaceae","g__AG11","MAG_KQGRI2.20.08_metabat2_bin.75",
"d__Bacteria","p__Chloroflexota","c__Chloroflexia","o__Chloroflexales","f__Chloroflexaceae","g__OHK40","MAG_MGGQSC.20.08_metabat2_bin.14*",
"d__Bacteria","p__Firmicutes_A","c__Clostridia","o__Clostridiales","f__Clostridiaceae","MAG_1908TGLC2_metabat2_bin.136",,
"d__Bacteria","p__Actinobacteriota","c__Thermoleophilia","o__Solirubrobacterales","f__70-9","g__VAYN01","MAG_TGLI1.17_metabat2_bin.19",
"d__Bacteria","p__Actinobacteriota","c__Acidimicrobiia","o__Acidimicrobiales","f__SIRW01","MAG_TGLI4.17_maxbin2_bin.7",,
"d__Bacteria","p__Actinobacteriota","c__Acidimicrobiia","o__Acidimicrobiales","f__SIRW01","MAG_PRGRI.17_vamb_bins_S1C3550",,
"d__Bacteria","p__Actinobacteriota","c__Acidimicrobiia","o__Acidimicrobiales","f__UBA8139","MAG_TGLI4.17_metabat2_bin.1",,
"d__Bacteria","p__Chloroflexota","c__Chloroflexia","o__Chloroflexales","f__Roseiflexaceae","MAG_KQGRSC.20.08_maxbin2_bin.27",,
"d__Bacteria","p__Chloroflexota","c__Chloroflexia","o__Chloroflexales","f__Roseiflexaceae","MAG_KQGRSC.20.08_metabat2_bin.19",,
"d__Bacteria","p__Actinobacteriota","c__Actinomycetia","o__Actinomycetales","f__Micrococcaceae","g__Pseudarthrobacter","ISO_B1321-3*",
"d__Bacteria","p__Actinobacteriota","c__Actinomycetia","o__Actinomycetales","f__Micrococcaceae","g__Pseudarthrobacter","ISO_B23-1*",
"d__Bacteria","p__Actinobacteriota","c__Actinomycetia","o__Actinomycetales","f__Micrococcaceae","g__Pseudarthrobacter","ISO_B340-1*",
"d__Bacteria","p__Actinobacteriota","c__Actinomycetia","o__Actinomycetales","f__Micrococcaceae","g__Pseudarthrobacter","ISO_DSP2-3-2.002*",
"d__Bacteria","p__Actinobacteriota","c__Actinomycetia","o__Actinomycetales","f__Micrococcaceae","g__Arthrobacter_I","s__Arthrobacter_I sp001750145","MAG_1908TGLC1_metabat2_bin.79"
"d__Bacteria","p__Actinobacteriota","c__Actinomycetia","o__Actinomycetales","f__Micrococcaceae","g__Arthrobacter_I","s__Arthrobacter_I sp001750145","MAG_1807DKMD3_metabat2_bin.51"
"d__Bacteria","p__Actinobacteriota","c__Actinomycetia","o__Actinomycetales","f__Micrococcaceae","g__Arthrobacter_I","ISO_B107-3",
"d__Bacteria","p__Actinobacteriota","c__Actinomycetia","o__Actinomycetales","f__Micrococcaceae","g__Arthrobacter_I","ISO_B94-1",
"d__Bacteria","p__Actinobacteriota","c__Actinomycetia","o__Actinomycetales","f__Micrococcaceae","g__Arthrobacter_I","ISO_B264*",
"d__Bacteria","p__Actinobacteriota","c__Actinomycetia","o__Actinomycetales","f__Micrococcaceae","g__Arthrobacter_I","ISO_B435-1*",
"d__Bacteria","p__Actinobacteriota","c__Actinomycetia","o__Actinomycetales","f__Micrococcaceae","g__Arthrobacter_I","ISO_N1995-1-1*",
"d__Bacteria","p__Actinobacteriota","c__Actinomycetia","o__Actinomycetales","f__Micrococcaceae","g__Arthrobacter_I","ISO_ZD15*",
"d__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Beijerinckiaceae","g__Methylobacterium","MAG_1908KQGRS3_metabat2_bin.53",
"d__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Beijerinckiaceae","g__Methylobacterium","s__Methylobacterium aquaticum_B","MAG_1908KQGRS_maxbin2_bin.15"
"d__Bacteria","p__Actinobacteriota","c__Actinomycetia","o__Actinomycetales","f__Microbacteriaceae","g__Cryobacterium","ISO_A45-1*",
"d__Bacteria","p__Actinobacteriota","c__Actinomycetia","o__Actinomycetales","f__Microbacteriaceae","g__Microbacterium","s__Microbacterium sp005774735","MAG_1909JMYZI3_metabat2_bin.59"
"d__Bacteria","p__Actinobacteriota","c__Actinomycetia","o__Actinomycetales","f__Dermabacteraceae","g__Brachybacterium","s__Brachybacterium paraconglomeratum","ISO_N50-1-2*"
"d__Bacteria","p__Actinobacteriota","c__Actinomycetia","o__Actinomycetales","f__Dermabacteraceae","g__Brachybacterium","s__Brachybacterium paraconglomeratum","ISO_N73-4-1"
"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Burkholderiaceae","g__Vitreoscilla_A","MAG_1905ZF6400I1_vamb_S1C184.001",
"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Burkholderiaceae","g__Vitreoscilla_A","MAG_1905ZF6400I1_metabat2_bin.45*",
"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Burkholderiaceae","g__Aquabacterium","MAG_GLYI1.20.09_maxbin2_bin.18",
"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Burkholderiaceae","g__Variovorax","MAG_1908NJYTI1_metabat2_bin.1",
"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Burkholderiaceae","g__Cupriavidus","MAG_1905ZF6360I3_metabat2_bin.10*",
"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Burkholderiaceae","g__Polaromonas","s__Polaromonas glacialis","ISO_B98-3"
"d__Bacteria","p__Actinobacteriota","c__Actinomycetia","o__Propionibacteriales","f__Propionibacteriaceae","g__Cutibacterium","s__Cutibacterium acnes","MAG_1908KQGRS_maxbin2_bin.54"
"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Pseudomonas_E","s__Pseudomonas_E fluorescens_BA","ISO_Y287-1a.002"
"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Pseudomonas_E","s__Pseudomonas_E sp000346755","MAG_1907PL4S_metabat2_bin.25*"
"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Pseudomonas_E","s__Pseudomonas_E sp000346755","MAG_1907QMS_vamb_S1C302"
"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Pseudomonas_O","ISO_RC12-3-1.002*",
"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Xanthomonadales","f__Xanthomonadaceae","g__Xanthomonas","s__Xanthomonas fragariae","MAG_ZPGI1.20.10_metabat2_bin.13*"
"d__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodobacterales","f__Rhodobacteraceae","g__Cypionkella","ISO_TWP1-2-1.002*",
"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Cytophagales","f__Spirosomaceae","g__Spirosoma","MAG_GLYI1.20.09_maxbin2_bin.14",
"d__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Caulobacterales","f__Caulobacteraceae","g__Brevundimonas","MAG_1906TGLS_metabat2_bin.25",
"d__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Caulobacterales","f__Caulobacteraceae","g__Caulobacter","ISO_DWP3-1-3.002",
"d__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Rhizobiaceae","g__Pararhizobium","ISO_DWP3-4*",
"d__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Rhizobiaceae","g__Mesorhizobium","ISO_GLY18-19-1*",
"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Cytophagales","f__Spirosomaceae","g__Arcicella","MAG_QYI.20.08_metabat2_bin.130*",
"d__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Sphingomonadales","f__Sphingomonadaceae","g__Sphingobium","MAG_1909JMYZI2_metabat2_bin.18",
"d__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Sphingomonadales","f__Sphingomonadaceae","g__Sphingomonas","s__Sphingomonas sp004354345","MAG_1908TGLI4_metabat2_bin.29"
"d__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Sphingomonadales","f__Sphingomonadaceae","g__Sphingomonas","s__Sphingomonas aerolata","ISO_TWP1-3-1"
"d__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Sphingomonadales","f__Sphingomonadaceae","g__Sphingomonas","s__Sphingomonas melonis","ISO_DC1400"
"d__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Sphingomonadales","f__Sphingomonadaceae","g__Sphingomonas","s__Sphingomonas melonis","ISO_DC2100-1"
"d__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Sphingomonadales","f__Sphingomonadaceae","g__Sphingomonas","s__Sphingomonas melonis","ISO_DC300-2"
"d__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Sphingomonadales","f__Sphingomonadaceae","g__Sphingomonas","s__Sphingomonas melonis","ISO_DC3100"
"d__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Sphingomonadales","f__Sphingomonadaceae","g__Sphingomonas","s__Sphingomonas melonis","ISO_DC4000-5*"
"d__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Sphingomonadales","f__Sphingomonadaceae","g__Sphingomonas","s__Sphingomonas melonis","ISO_DC4300-1"
"d__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Sphingomonadales","f__Sphingomonadaceae","g__Sphingomonas","s__Sphingomonas melonis","ISO_DC4400-1"
"d__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Sphingomonadales","f__Sphingomonadaceae","g__Sphingomonas","s__Sphingomonas melonis","ISO_DC4400-2"
"d__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Sphingomonadales","f__Sphingomonadaceae","g__Sphingomonas","s__Sphingomonas melonis","ISO_DC4500-3"
"d__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Sphingomonadales","f__Sphingomonadaceae","g__Sphingomonas","s__Sphingomonas melonis","ISO_DC4800"
"d__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Sphingomonadales","f__Sphingomonadaceae","g__Sphingomonas","s__Sphingomonas melonis","ISO_DC500-3"
"d__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Sphingomonadales","f__Sphingomonadaceae","g__Sphingomonas","s__Sphingomonas melonis","ISO_DC5200-3"
"d__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Sphingomonadales","f__Sphingomonadaceae","g__Sphingomonas","s__Sphingomonas melonis","ISO_DC6300-1"
"d__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Sphingomonadales","f__Sphingomonadaceae","g__Sphingomonas","s__Sphingomonas melonis","MAG_PRGRI.17_maxbin2_bin.10"
"d__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Sphingomonadales","f__Sphingomonadaceae","g__Sphingomonas","s__Sphingomonas melonis","MAG_PRGRI.17_metabat2_bin.14"
"d__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Sphingomonadales","f__Sphingomonadaceae","g__Sphingomonas","s__Sphingomonas melonis","MAG_PRGRI.17_vamb_bins_S1C404"
